,annotated_file,F_score,Precision,Recall
0,541_the_age_of_innocence_brat.tsv,0.5641,0.55,0.5789
1,2891_howards_end_brat.tsv,0.5669,0.48,0.6923
2,2775_the_good_soldier_brat.tsv,0.5846,0.4524,0.8261
3,6593_history_of_tom_jones_a_foundling_brat.tsv,0.3636,0.2727,0.5455
4,44_the_song_of_the_lark_brat.tsv,0.7225,0.6699,0.7841
5,32_herland_brat.tsv,0.6377,0.557,0.7458
6,271_black_beauty_brat.tsv,0.5714,0.4793,0.7073
7,4300_ulysses_brat.tsv,0.6667,0.6514,0.6827
8,351_of_human_bondage_brat.tsv,0.6932,0.6084,0.8056
9,940_the_last_of_the_mohicans_a_narrative_of_1757_brat.tsv,0.4,0.3333,0.5
10,238_dear_enemy_brat.tsv,0.5326,0.4455,0.6622
11,4217_a_portrait_of_the_artist_as_a_young_man_brat.tsv,0.6575,0.5854,0.75
12,2084_the_way_of_all_flesh_brat.tsv,0.4048,0.2833,0.7083
13,233_sister_carrie_a_novel_brat.tsv,0.449,0.4151,0.4889
14,974_the_secret_agent_a_simple_tale_brat.tsv,0.3846,0.3226,0.4762
15,1695_the_man_who_was_thursday_a_nightmare_brat.tsv,0.55,0.44,0.7333
16,5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks_brat.tsv,0.5455,0.4688,0.6522
17,514_little_women_brat.tsv,0.4275,0.3218,0.6364
18,730_oliver_twist_brat.tsv,0.4,0.3289,0.5102
19,78_tarzan_of_the_apes_brat.tsv,0.5,0.4533,0.5574
20,160_the_awakening_and_selected_short_stories_brat.tsv,0.6114,0.5385,0.7071
21,345_dracula_brat.tsv,0.4138,0.3186,0.5902
22,45_anne_of_green_gables_brat.tsv,0.4045,0.2812,0.72
23,24_o_pioneers_brat.tsv,0.6032,0.5429,0.6786
24,2641_a_room_with_a_view_brat.tsv,0.625,0.5426,0.7368
25,36_the_war_of_the_worlds_brat.tsv,0.3962,0.3818,0.4118
26,2095_clotelle_a_tale_of_the_southern_states_brat.tsv,0.4706,0.4,0.5714
27,5230_the_invisible_man_a_grotesque_romance_brat.tsv,0.5694,0.5369,0.6061
28,434_the_circular_staircase_brat.tsv,0.4503,0.3505,0.6296
29,171_charlotte_temple_brat.tsv,0.3655,0.3051,0.4557
30,2852_the_hound_of_the_baskervilles_brat.tsv,0.5891,0.5205,0.6786
31,969_the_tenant_of_wildfell_hall_brat.tsv,0.3922,0.3333,0.4762
32,11_alices_adventures_in_wonderland_brat.tsv,0.5244,0.3986,0.7662
33,215_the_call_of_the_wild_brat.tsv,0.6415,0.5604,0.75
34,1023_bleak_house_brat.tsv,0.3544,0.3111,0.4118
35,60_the_scarlet_pimpernel_brat.tsv,0.5625,0.5,0.6429
36,367_country_of_the_pointed_firs_brat.tsv,0.3043,0.2258,0.4667
37,432_the_ambassadors_brat.tsv,0.4138,0.3333,0.5455
38,84_frankenstein_or_the_modern_prometheus_brat.tsv,0.46,0.3898,0.561
39,3268_the_mysteries_of_udolpho_brat.tsv,0.5882,0.5,0.7143
40,145_middlemarch_brat.tsv,0.6667,0.5556,0.8333
41,11231_bartleby_the_scrivener_a_story_of_wallstreet_brat.tsv,0.3492,0.2444,0.6111
42,1342_pride_and_prejudice_brat.tsv,0.4956,0.3784,0.7179
43,3457_the_man_of_the_forest_brat.tsv,0.4526,0.4216,0.4886
44,76_adventures_of_huckleberry_finn_brat.tsv,0.5948,0.4878,0.7619
45,502_desert_gold_brat.tsv,0.5091,0.4786,0.5437
46,472_the_house_behind_the_cedars_brat.tsv,0.4317,0.3704,0.5172
47,768_wuthering_heights_brat.tsv,0.4674,0.4135,0.5375
48,41286_miss_marjoribanks_brat.tsv,0.3554,0.2905,0.4574
49,18581_adrift_in_new_york_tom_and_florence_braving_the_world_brat.tsv,0.5091,0.4058,0.6829
50,33_the_scarlet_letter_brat.tsv,0.3778,0.2787,0.5862
51,209_the_turn_of_the_screw_brat.tsv,0.5054,0.4196,0.6351
52,805_this_side_of_paradise_brat.tsv,0.3784,0.3182,0.4667
